0	8.9334	7.7649	4.803	7.1967	8.0267	8.1559	4.5784	10.2703	16.6338
8.9334	0	11.2096	9.6252	10.9923	9.9932	11.2573	9.0702	11.3147	12.2729
7.7649	11.2096	0	6.7821	6.3058	6.3341	5.8806	7.4718	7.6285	17.7237
4.803	9.6252	6.7821	0	6.1699	6.2266	8.0212	6.5582	10.1168	17.5921
7.1967	10.9923	6.3058	6.1699	0	4.639	7.2804	7.3677	8.3464	16.792
8.0267	9.9932	6.3341	6.2266	4.639	0	8.3591	6.7983	7.4682	16.4945
8.1559	11.2573	5.8806	8.0212	7.2804	8.3591	0	8.7294	9.7326	15.6498
4.5784	9.0702	7.4718	6.5582	7.3677	6.7983	8.7294	0	9.7821	16.5273
10.2703	11.3147	7.6285	10.1168	8.3464	7.4682	9.7326	9.7821	0	16.7303
16.6338	12.2729	17.7237	17.5921	16.792	16.4945	15.6498	16.5273	16.7303	0
